Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	CT.mates	Argy123	0:00:09	00:34.9		system	2013-03-17 09:00:34.920 - CT.mates -> joins the room
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	Argy123	CT.mates	0:00:16	01:16.1	0:00:16	chat	2013-03-17 09:01:16.062 - Argy123 -> hey cT.mates :D
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	CT.mates	Argy123	0:00:02	01:03.3	0:00:02	chat	2013-03-17 09:01:03.347 - CT.mates -> Hey Argy!
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	mathminion1	CT.mates	0:00:25	01:28.8		system	2013-03-17 09:01:28.849 - mathminion1 -> joins the room
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	CT.mates	mathminion1	0:00:02	01:55.3	0:00:02	chat	2013-03-17 09:01:55.288 - CT.mates -> Hi mathminion!
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	mathminion1	CT.mates	0:00:01	01:56.1	0:00:01	chat	2013-03-17 09:01:56.073 - mathminion1 -> hi guys
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	mathminion1	mathminion1	0:00:08	02:15.0	0:00:08	chat	2013-03-17 09:02:15.036 - mathminion1 -> so kpie couln't make it rite?
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	Argy123	mathminion1	0:00:08	02:30.9	0:00:08	chat	2013-03-17 09:02:30.911 - Argy123 -> no i think she could
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	mathminion1	Argy123	0:00:24	03:00.8	0:00:24	chat	2013-03-17 09:03:00.801 - mathminion1 -> oh so did you guys make up the last session. I was sick so i could not make it. sorry
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	CT.mates	mathminion1	0:00:04	03:09.5	0:00:04	chat	2013-03-17 09:03:09.461 - CT.mates -> yeah, we did
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	CT.mates	CT.mates	0:00:04	03:14.8	0:00:04	chat	2013-03-17 09:03:14.751 - CT.mates -> wait, Kpie said she was coming
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	CT.mates	CT.mates	0:00:06	03:48.7	0:00:06	awareness	2013-03-17 09:03:48.678 - CT.mates -> [fully erased the chat message]
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	mathminion1	CT.mates	0:00:00	04:10.1	0:00:00	awareness	2013-03-17 09:04:10.079 - mathminion1 -> [fully erased the chat message]
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	mathminion1	mathminion1	0:00:00	04:10.7	0:00:00	chat	2013-03-17 09:04:10.720 - mathminion1 -> ok
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	mathminion1	mathminion1	0:00:10	04:21.0		system	2013-03-17 09:04:20.950 - mathminion1 -> Now viewing tab Squares
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	mathminion1	mathminion1	0:00:02	04:23.5		system	2013-03-17 09:04:23.539 - mathminion1 -> Now viewing tab Hexagons
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	mathminion1	mathminion1	0:00:04	04:27.9		system	2013-03-17 09:04:27.923 - mathminion1 -> Now viewing tab Triangles
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	Argy123	mathminion1	0:00:02	04:30.0		system	2013-03-17 09:04:30.049 - Argy123 -> Now viewing tab Squares
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	Argy123	Argy123	0:00:04	04:35.0		system	2013-03-17 09:04:35.043 - Argy123 -> Now viewing tab Hexagons
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	Argy123	Argy123	0:00:03	04:38.6		system	2013-03-17 09:04:38.554 - Argy123 -> Now viewing tab Squares
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	Argy123	Argy123	0:00:01	04:39.9		system	2013-03-17 09:04:39.898 - Argy123 -> Now viewing tab Triangles
Spring 2013 Colon	Dynamic Geometry	Topic 05	Colon_Group_1	CID:1363017822902	Argy123	Argy123	0:00:29	05:38.0	0:00:29	chat	2013-03-17 09:05:37.952 - Argy123 -> lets wait a little longer for our other mathminion lol
