Community	Subject	Topic	Room	Channel	Source	Target	Time	Finish Time	Duration	Event Type	Event	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	marco is boss	0:01:16	19:01.1		system	2013-03-13 13:19:01.144 - penguinoidhung -> joins the room	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	penguinoidhung	0:00:07	19:08.7		system	2013-03-13 13:19:08.678 - arrenn429 -> joins the room	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	arrenn429	0:00:10	19:19.3		system	2013-03-13 13:19:19.324 - jake19 -> joins the room	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	marco is boss	jake19	0:00:25	19:45.3		system	2013-03-13 13:19:45.320 - marco is boss -> leaves the room	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	marco is boss	0:00:02	20:06.0	0:00:02	awareness	2013-03-13 13:20:06.022 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	jake19	0:00:01	20:07.2		system	2013-03-13 13:20:07.172 - Dfonseca69 -> joins the room	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	Dfonseca69	0:00:10	20:18.3	0:00:10	chat	2013-03-13 13:20:18.257 - jake19 -> where is nick	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	jake19	0:00:03	20:25.3	0:00:03	chat	2013-03-13 13:20:25.266 - penguinoidhung -> Nick log on!	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	penguinoidhung	0:00:18	20:43.5		Geogebra:Topic 5	2013-03-13 13:20:43.532 - arrenn429 -> tool changed to Move	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	arrenn429	0:00:06	21:12.7	0:00:06	chat	2013-03-13 13:21:12.672 - jake19 -> NICK	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	jake19	0:00:11	21:23.7		system	2013-03-13 13:21:23.704 - penguinoidhung -> Now viewing tab Summary	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	penguinoidhung	0:00:00	21:24.6		system	2013-03-13 13:21:24.565 - penguinoidhung -> Now viewing tab Topic 5	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	penguinoidhung	0:00:00	21:25.3		system	2013-03-13 13:21:25.263 - penguinoidhung -> Now viewing tab Summary	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	penguinoidhung	0:00:00	21:25.7		system	2013-03-13 13:21:25.716 - penguinoidhung -> Now viewing tab Topic 5	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	penguinoidhung	0:00:03	21:29.1		system	2013-03-13 13:21:29.111 - jake19 -> Now viewing tab Summary	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	jake19	0:00:00	21:30.0		system	2013-03-13 13:21:30.027 - jake19 -> Now viewing tab Topic 5	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	jake19	0:00:11	21:41.8		system	2013-03-13 13:21:41.758 - Dfonseca69 -> Now viewing tab Summary	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:00	21:42.2		system	2013-03-13 13:21:42.177 - Dfonseca69 -> Now viewing tab Topic 5	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:00	21:42.5		system	2013-03-13 13:21:42.514 - Dfonseca69 -> Now viewing tab Summary	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:01	21:43.6		system	2013-03-13 13:21:43.554 - Dfonseca69 -> Now viewing tab Topic 5	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	Dfonseca69	0:00:00	21:43.6		Geogebra:Topic 5	2013-03-13 13:21:43.598 - arrenn429 -> tool changed to Move Graphics View	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	arrenn429	0:00:03	21:46.9		system	2013-03-13 13:21:46.877 - penguinoidhung -> Now viewing tab Summary	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	penguinoidhung	0:00:00	21:47.1		system	2013-03-13 13:21:47.133 - penguinoidhung -> Now viewing tab Topic 5	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	penguinoidhung	0:00:02	21:49.3	0:00:02	chat	2013-03-13 13:21:49.275 - jake19 -> DAVID	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	jake19	0:0:-1	21:47.4		system	2013-03-13 13:21:47.420 - penguinoidhung -> Now viewing tab Summary	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	penguinoidhung	penguinoidhung	0:00:00	21:47.8		system	2013-03-13 13:21:47.792 - penguinoidhung -> Now viewing tab Topic 5	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	penguinoidhung	0:00:01	21:51.9	0:00:01	chat	2013-03-13 13:21:51.926 - jake19 -> HUNG	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	jake19	0:00:01	21:53.9	0:00:01	awareness	2013-03-13 13:21:53.858 - arrenn429 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	arrenn429	0:00:01	21:54.4	0:00:01	chat	2013-03-13 13:21:54.393 - jake19 -> STOP	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	arrenn429	jake19	0:00:29	22:24.8	0:00:29	chat	2013-03-13 13:22:24.841 - arrenn429 -> i will be person 1 because im in control now	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	arrenn429	0:0:-12	22:12.2		system	2013-03-13 13:22:12.208 - Dfonseca69 -> Now viewing tab Summary	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	Dfonseca69	0:00:00	22:12.7		system	2013-03-13 13:22:12.659 - Dfonseca69 -> Now viewing tab Topic 5	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	nicolas1699	Dfonseca69	0:00:01	22:14.3		system	2013-03-13 13:22:14.289 - nicolas1699 -> joins the room	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	jake19	nicolas1699	0:00:03	22:20.6	0:00:03	awareness	2013-03-13 13:22:20.561 - jake19 -> [fully erased the chat message]	
Spring 2013 Whitehead	Dynamic Geometry	Topic 05	Session 5_3	CID:1362920853719	Dfonseca69	jake19	0:00:00	22:30.8	0:00:00	chat	2013-03-13 13:22:30.791 - Dfonseca69 -> ok	
